Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (27748 already done, 22252 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5 (7748 done, 2252 remaining) ---
[27749/50000] 2026-06-28 11:55:57 | R3 | railroadcar/test_1_artifice_no_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[35946/50000] 2026-06-28 13:35:03 | R4 | kaprekar/test_1_artifice_pg_procyon vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[35947/50000] 2026-06-28 13:35:04 | R4 | kaprekar/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[35948/50000] 2026-06-28 13:35:04 | R4 | kaprekar/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[35949/50000] 2026-06-28 13:35:05 | R4 | kaprekar/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[35950/50000] 2026-06-28 13:35:06 | R4 | kaprekar/test_1_artifice_pg_procyon vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[35951/50000] 2026-06-28 13:35:07 | R4 | kaprekar/test_1_artifice_pg_procyon vs kaprekar/0_orig → CLONE
[35952/50000] 2026-06-28 13:35:08 | R4 | kaprekar/test_1_artifice_pg_procyon vs kaprekar/1_artifice → CLONE
[35953/50000] 2026-06-28 13:35:09 | R4 | kaprekar/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_no_krakatau → CLONE
[35954/50000] 2026-06-28 13:35:09 | R4 | kaprekar/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_no_procyon → CLONE
[35955/50000] 2026-06-28 13:35:10 | R4 | kaprekar/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_pg_krakatau → CLONE
[35956/50000] 2026-06-28 13:35:11 | R4 | kaprekar/test_1_artifice_pg_procyon vs kaprekar/test_0_orig_pg_procyon → CLONE
[35957/50000] 2026-06-28 13:35:12 | R4 | kaprekar/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_no_krakatau → CLONE
[35958/50000] 2026-06-28 13:35:12 | R4 | kaprekar/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_no_procyon → CLONE
[35959/50000] 2026-06-28 13:35:13 | R4 | kaprekar/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_pg_krakatau → CLONE
[35960/50000] 2026-06-28 13:35:14 | R4 | kaprekar/test_1_artifice_pg_procyon vs kaprekar/test_1_artifice_pg_procyon → CLONE
[35961/50000] 2026-06-28 13:35:14 | R4 | kaprekar/test_1_artifice_pg_procyon vs queens/0_orig → NON-CLONE
[35962/50000] 2026-06-28 13:35:15 | R4 | kaprekar/test_1_artifice_pg_procyon vs queens/1_artifice → NON-CLONE
[35963/50000] 2026-06-28 13:35:16 | R4 | kaprekar/test_1_artifice_pg_procyon vs queens/test_0_orig_no_krakatau → NON-CLONE
[35964/50000] 2026-06-28 13:35:16 | R4 | kaprekar/test_1_artifice_pg_procyon vs queens/test_0_orig_no_procyon → NON-CLONE
[35965/50000] 2026-06-28 13:35:17 | R4 | kaprekar/test_1_artifice_pg_procyon vs queens/test_0_orig_pg_krakatau → NON-CLONE
[35966/50000] 2026-06-28 13:35:18 | R4 | kaprekar/test_1_artifice_pg_procyon vs queens/test_0_orig_pg_procyon → NON-CLONE
[35967/50000] 2026-06-28 13:35:18 | R4 | kaprekar/test_1_artifice_pg_procyon vs queens/test_1_artifice_no_krakatau → NON-CLONE
[35968/50000] 2026-06-28 13:35:19 | R4 | kaprekar/test_1_artifice_pg_procyon vs queens/test_1_artifice_no_procyon → NON-CLONE
[35969/50000] 2026-06-28 13:35:20 | R4 | kaprekar/test_1_artifice_pg_procyon vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[35970/50000] 2026-06-28 13:35:20 | R4 | kaprekar/test_1_artifice_pg_procyon vs queens/test_1_artifice_pg_procyon → NON-CLONE
[35971/50000] 2026-06-28 13:35:21 | R4 | kaprekar/test_1_artifice_pg_procyon vs railroadcar/0_orig → NON-CLONE
[35972/50000] 2026-06-28 13:35:22 | R4 | kaprekar/test_1_artifice_pg_procyon vs railroadcar/1_artifice → NON-CLONE
[35973/50000] 2026-06-28 13:35:22 | R4 | kaprekar/test_1_artifice_pg_procyon vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[35974/50000] 2026-06-28 13:35:23 | R4 | kaprekar/test_1_artifice_pg_procyon vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[35975/50000] 2026-06-28 13:35:24 | R4 | kaprekar/test_1_artifice_pg_procyon vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[35976/50000] 2026-06-28 13:35:24 | R4 | kaprekar/test_1_artifice_pg_procyon vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[35977/50000] 2026-06-28 13:35:25 | R4 | kaprekar/test_1_artifice_pg_procyon vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[35978/50000] 2026-06-28 13:35:26 | R4 | kaprekar/test_1_artifice_pg_procyon vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[35979/50000] 2026-06-28 13:35:26 | R4 | kaprekar/test_1_artifice_pg_procyon vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[35980/50000] 2026-06-28 13:35:27 | R4 | kaprekar/test_1_artifice_pg_procyon vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[35981/50000] 2026-06-28 13:35:28 | R4 | kaprekar/test_1_artifice_pg_procyon vs slinkedlist/0_orig → NON-CLONE
[35982/50000] 2026-06-28 13:35:28 | R4 | kaprekar/test_1_artifice_pg_procyon vs slinkedlist/1_artifice → NON-CLONE
[35983/50000] 2026-06-28 13:35:29 | R4 | kaprekar/test_1_artifice_pg_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[35984/50000] 2026-06-28 13:35:30 | R4 | kaprekar/test_1_artifice_pg_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[35985/50000] 2026-06-28 13:35:30 | R4 | kaprekar/test_1_artifice_pg_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[35986/50000] 2026-06-28 13:35:31 | R4 | kaprekar/test_1_artifice_pg_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[35987/50000] 2026-06-28 13:35:32 | R4 | kaprekar/test_1_artifice_pg_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[35988/50000] 2026-06-28 13:35:33 | R4 | kaprekar/test_1_artifice_pg_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[35989/50000] 2026-06-28 13:35:33 | R4 | kaprekar/test_1_artifice_pg_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[35990/50000] 2026-06-28 13:35:34 | R4 | kaprekar/test_1_artifice_pg_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[35991/50000] 2026-06-28 13:35:35 | R4 | kaprekar/test_1_artifice_pg_procyon vs square/0_orig → NON-CLONE
[35992/50000] 2026-06-28 13:35:35 | R4 | kaprekar/test_1_artifice_pg_procyon vs square/1_artifice → NON-CLONE
[35993/50000] 2026-06-28 13:35:36 | R4 | kaprekar/test_1_artifice_pg_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
[35994/50000] 2026-06-28 13:35:37 | R4 | kaprekar/test_1_artifice_pg_procyon vs square/test_0_orig_no_procyon → NON-CLONE
[35995/50000] 2026-06-28 13:35:38 | R4 | kaprekar/test_1_artifice_pg_procyon vs square/test_0_orig_pg_krakatau → NON-CLONE
[35996/50000] 2026-06-28 13:35:38 | R4 | kaprekar/test_1_artifice_pg_procyon vs square/test_0_orig_pg_procyon → NON-CLONE
[35997/50000] 2026-06-28 13:35:39 | R4 | kaprekar/test_1_artifice_pg_procyon vs square/test_1_artifice_no_krakatau → NON-CLONE
[35998/50000] 2026-06-28 13:35:40 | R4 | kaprekar/test_1_artifice_pg_procyon vs square/test_1_artifice_no_procyon → NON-CLONE
[35999/50000] 2026-06-28 13:35:41 | R4 | kaprekar/test_1_artifice_pg_procyon vs square/test_1_artifice_pg_krakatau → NON-CLONE
[36000/50000] 2026-06-28 13:35:42 | R4 | kaprekar/test_1_artifice_pg_procyon vs square/test_1_artifice_pg_procyon → NON-CLONE
[36001/50000] 2026-06-28 13:35:43 | R4 | queens/0_orig vs InfixConverter/0_orig → NON-CLONE
[36002/50000] 2026-06-28 13:35:43 | R4 | queens/0_orig vs InfixConverter/1_artifice → NON-CLONE
[36003/50000] 2026-06-28 13:35:44 | R4 | queens/0_orig vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[36004/50000] 2026-06-28 13:35:45 | R4 | queens/0_orig vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[36005/50000] 2026-06-28 13:35:46 | R4 | queens/0_orig vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[36006/50000] 2026-06-28 13:35:47 | R4 | queens/0_orig vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[36007/50000] 2026-06-28 13:35:48 | R4 | queens/0_orig vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[36008/50000] 2026-06-28 13:35:49 | R4 | queens/0_orig vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[36009/50000] 2026-06-28 13:35:50 | R4 | queens/0_orig vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[36010/50000] 2026-06-28 13:35:51 | R4 | queens/0_orig vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[36011/50000] 2026-06-28 13:35:52 | R4 | queens/0_orig vs SqrtAlgorithm/0_orig → NON-CLONE
[36012/50000] 2026-06-28 13:35:53 | R4 | queens/0_orig vs SqrtAlgorithm/1_artifice → NON-CLONE
[36013/50000] 2026-06-28 13:35:54 | R4 | queens/0_orig vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[36014/50000] 2026-06-28 13:35:55 | R4 | queens/0_orig vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[36015/50000] 2026-06-28 13:35:56 | R4 | queens/0_orig vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[36016/50000] 2026-06-28 13:35:57 | R4 | queens/0_orig vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[36017/50000] 2026-06-28 13:35:58 | R4 | queens/0_orig vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[36018/50000] 2026-06-28 13:35:58 | R4 | queens/0_orig vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[36019/50000] 2026-06-28 13:35:59 | R4 | queens/0_orig vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[36020/50000] 2026-06-28 13:36:00 | R4 | queens/0_orig vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[36021/50000] 2026-06-28 13:36:01 | R4 | queens/0_orig vs bubblesort/0_orig → NON-CLONE
[36022/50000] 2026-06-28 13:36:02 | R4 | queens/0_orig vs bubblesort/1_artifice → NON-CLONE
[36023/50000] 2026-06-28 13:36:03 | R4 | queens/0_orig vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[36024/50000] 2026-06-28 13:36:04 | R4 | queens/0_orig vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[36025/50000] 2026-06-28 13:36:05 | R4 | queens/0_orig vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[36026/50000] 2026-06-28 13:36:06 | R4 | queens/0_orig vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[36027/50000] 2026-06-28 13:36:07 | R4 | queens/0_orig vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[36028/50000] 2026-06-28 13:36:07 | R4 | queens/0_orig vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[36029/50000] 2026-06-28 13:36:08 | R4 | queens/0_orig vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[36030/50000] 2026-06-28 13:36:09 | R4 | queens/0_orig vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[36031/50000] 2026-06-28 13:36:10 | R4 | queens/0_orig vs guessword/0_orig → NON-CLONE
[36032/50000] 2026-06-28 13:36:11 | R4 | queens/0_orig vs guessword/1_artifice → NON-CLONE
[36033/50000] 2026-06-28 13:36:12 | R4 | queens/0_orig vs guessword/test_0_orig_no_krakatau → NON-CLONE
[36034/50000] 2026-06-28 13:36:13 | R4 | queens/0_orig vs guessword/test_0_orig_no_procyon → NON-CLONE
[36035/50000] 2026-06-28 13:36:14 | R4 | queens/0_orig vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[36036/50000] 2026-06-28 13:36:15 | R4 | queens/0_orig vs guessword/test_0_orig_pg_procyon → NON-CLONE
[36037/50000] 2026-06-28 13:36:16 | R4 | queens/0_orig vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[36038/50000] 2026-06-28 13:36:16 | R4 | queens/0_orig vs guessword/test_1_artifice_no_procyon → NON-CLONE
[36039/50000] 2026-06-28 13:36:17 | R4 | queens/0_orig vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[36040/50000] 2026-06-28 13:36:18 | R4 | queens/0_orig vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[36041/50000] 2026-06-28 13:36:19 | R4 | queens/0_orig vs hanoi/0_orig → NON-CLONE
[36042/50000] 2026-06-28 13:36:20 | R4 | queens/0_orig vs hanoi/1_artifice → NON-CLONE
[36043/50000] 2026-06-28 13:36:21 | R4 | queens/0_orig vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[36044/50000] 2026-06-28 13:36:22 | R4 | queens/0_orig vs hanoi/test_0_orig_no_procyon → NON-CLONE
[36045/50000] 2026-06-28 13:36:23 | R4 | queens/0_orig vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[36046/50000] 2026-06-28 13:36:24 | R4 | queens/0_orig vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[36047/50000] 2026-06-28 13:36:25 | R4 | queens/0_orig vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[36048/50000] 2026-06-28 13:36:26 | R4 | queens/0_orig vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[36049/50000] 2026-06-28 13:36:27 | R4 | queens/0_orig vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[36050/50000] 2026-06-28 13:36:28 | R4 | queens/0_orig vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[36051/50000] 2026-06-28 13:36:29 | R4 | queens/0_orig vs kaprekar/0_orig → NON-CLONE
[36052/50000] 2026-06-28 13:36:30 | R4 | queens/0_orig vs kaprekar/1_artifice → NON-CLONE
[36053/50000] 2026-06-28 13:36:31 | R4 | queens/0_orig vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[36054/50000] 2026-06-28 13:36:32 | R4 | queens/0_orig vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[36055/50000] 2026-06-28 13:36:33 | R4 | queens/0_orig vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[36056/50000] 2026-06-28 13:36:34 | R4 | queens/0_orig vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[36057/50000] 2026-06-28 13:36:34 | R4 | queens/0_orig vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[36058/50000] 2026-06-28 13:36:35 | R4 | queens/0_orig vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[36059/50000] 2026-06-28 13:36:36 | R4 | queens/0_orig vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[36060/50000] 2026-06-28 13:36:37 | R4 | queens/0_orig vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[36061/50000] 2026-06-28 13:36:38 | R4 | queens/0_orig vs queens/0_orig → CLONE
[36062/50000] 2026-06-28 13:36:39 | R4 | queens/0_orig vs queens/1_artifice → CLONE
[36063/50000] 2026-06-28 13:36:39 | R4 | queens/0_orig vs queens/test_0_orig_no_krakatau → CLONE
[36064/50000] 2026-06-28 13:36:40 | R4 | queens/0_orig vs queens/test_0_orig_no_procyon → CLONE
[36065/50000] 2026-06-28 13:36:41 | R4 | queens/0_orig vs queens/test_0_orig_pg_krakatau → CLONE
[36066/50000] 2026-06-28 13:36:42 | R4 | queens/0_orig vs queens/test_0_orig_pg_procyon → CLONE
[36067/50000] 2026-06-28 13:36:42 | R4 | queens/0_orig vs queens/test_1_artifice_no_krakatau → CLONE
[36068/50000] 2026-06-28 13:36:43 | R4 | queens/0_orig vs queens/test_1_artifice_no_procyon → CLONE
[36069/50000] 2026-06-28 13:36:44 | R4 | queens/0_orig vs queens/test_1_artifice_pg_krakatau → CLONE
[36070/50000] 2026-06-28 13:36:45 | R4 | queens/0_orig vs queens/test_1_artifice_pg_procyon → CLONE
[36071/50000] 2026-06-28 13:36:46 | R4 | queens/0_orig vs railroadcar/0_orig → NON-CLONE
[36072/50000] 2026-06-28 13:36:46 | R4 | queens/0_orig vs railroadcar/1_artifice → NON-CLONE
[36073/50000] 2026-06-28 13:36:47 | R4 | queens/0_orig vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[36074/50000] 2026-06-28 13:36:48 | R4 | queens/0_orig vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[36075/50000] 2026-06-28 13:36:49 | R4 | queens/0_orig vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[36076/50000] 2026-06-28 13:36:50 | R4 | queens/0_orig vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[36077/50000] 2026-06-28 13:36:50 | R4 | queens/0_orig vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[36078/50000] 2026-06-28 13:36:51 | R4 | queens/0_orig vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[36079/50000] 2026-06-28 13:36:52 | R4 | queens/0_orig vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[36080/50000] 2026-06-28 13:36:53 | R4 | queens/0_orig vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[36081/50000] 2026-06-28 13:36:53 | R4 | queens/0_orig vs slinkedlist/0_orig → NON-CLONE
[36082/50000] 2026-06-28 13:36:54 | R4 | queens/0_orig vs slinkedlist/1_artifice → NON-CLONE
[36083/50000] 2026-06-28 13:36:55 | R4 | queens/0_orig vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[36084/50000] 2026-06-28 13:36:56 | R4 | queens/0_orig vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[36085/50000] 2026-06-28 13:36:57 | R4 | queens/0_orig vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[36086/50000] 2026-06-28 13:36:57 | R4 | queens/0_orig vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[36087/50000] 2026-06-28 13:36:58 | R4 | queens/0_orig vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[36088/50000] 2026-06-28 13:36:59 | R4 | queens/0_orig vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[36089/50000] 2026-06-28 13:37:00 | R4 | queens/0_orig vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[36090/50000] 2026-06-28 13:37:01 | R4 | queens/0_orig vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[36091/50000] 2026-06-28 13:37:02 | R4 | queens/0_orig vs square/0_orig → NON-CLONE
[36092/50000] 2026-06-28 13:37:03 | R4 | queens/0_orig vs square/1_artifice → NON-CLONE
[36093/50000] 2026-06-28 13:37:04 | R4 | queens/0_orig vs square/test_0_orig_no_krakatau → NON-CLONE
[36094/50000] 2026-06-28 13:37:05 | R4 | queens/0_orig vs square/test_0_orig_no_procyon → NON-CLONE
[36095/50000] 2026-06-28 13:37:06 | R4 | queens/0_orig vs square/test_0_orig_pg_krakatau → NON-CLONE
[36096/50000] 2026-06-28 13:37:07 | R4 | queens/0_orig vs square/test_0_orig_pg_procyon → NON-CLONE
[36097/50000] 2026-06-28 13:37:08 | R4 | queens/0_orig vs square/test_1_artifice_no_krakatau → NON-CLONE
[36098/50000] 2026-06-28 13:37:09 | R4 | queens/0_orig vs square/test_1_artifice_no_procyon → NON-CLONE
[36099/50000] 2026-06-28 13:37:10 | R4 | queens/0_orig vs square/test_1_artifice_pg_krakatau → NON-CLONE
[36100/50000] 2026-06-28 13:37:11 | R4 | queens/0_orig vs square/test_1_artifice_pg_procyon → NON-CLONE
[36101/50000] 2026-06-28 13:37:12 | R4 | queens/1_artifice vs InfixConverter/0_orig → NON-CLONE
[36102/50000] 2026-06-28 13:37:13 | R4 | queens/1_artifice vs InfixConverter/1_artifice → NON-CLONE
[36103/50000] 2026-06-28 13:37:14 | R4 | queens/1_artifice vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[36104/50000] 2026-06-28 13:37:14 | R4 | queens/1_artifice vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[36105/50000] 2026-06-28 13:37:15 | R4 | queens/1_artifice vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[36106/50000] 2026-06-28 13:37:16 | R4 | queens/1_artifice vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[36107/50000] 2026-06-28 13:37:17 | R4 | queens/1_artifice vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[36108/50000] 2026-06-28 13:37:18 | R4 | queens/1_artifice vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[36109/50000] 2026-06-28 13:37:19 | R4 | queens/1_artifice vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[36110/50000] 2026-06-28 13:37:20 | R4 | queens/1_artifice vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[36111/50000] 2026-06-28 13:37:21 | R4 | queens/1_artifice vs SqrtAlgorithm/0_orig → NON-CLONE
[36112/50000] 2026-06-28 13:37:22 | R4 | queens/1_artifice vs SqrtAlgorithm/1_artifice → NON-CLONE
[36113/50000] 2026-06-28 13:37:23 | R4 | queens/1_artifice vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[36114/50000] 2026-06-28 13:37:24 | R4 | queens/1_artifice vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[36115/50000] 2026-06-28 13:37:25 | R4 | queens/1_artifice vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[36116/50000] 2026-06-28 13:37:26 | R4 | queens/1_artifice vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[36117/50000] 2026-06-28 13:37:27 | R4 | queens/1_artifice vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[36118/50000] 2026-06-28 13:37:27 | R4 | queens/1_artifice vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[36119/50000] 2026-06-28 13:37:28 | R4 | queens/1_artifice vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[36120/50000] 2026-06-28 13:37:29 | R4 | queens/1_artifice vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[36121/50000] 2026-06-28 13:37:30 | R4 | queens/1_artifice vs bubblesort/0_orig → NON-CLONE
[36122/50000] 2026-06-28 13:37:31 | R4 | queens/1_artifice vs bubblesort/1_artifice → NON-CLONE
[36123/50000] 2026-06-28 13:37:32 | R4 | queens/1_artifice vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[36124/50000] 2026-06-28 13:37:33 | R4 | queens/1_artifice vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[36125/50000] 2026-06-28 13:37:34 | R4 | queens/1_artifice vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[36126/50000] 2026-06-28 13:37:35 | R4 | queens/1_artifice vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[36127/50000] 2026-06-28 13:37:35 | R4 | queens/1_artifice vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[36128/50000] 2026-06-28 13:37:36 | R4 | queens/1_artifice vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[36129/50000] 2026-06-28 13:37:37 | R4 | queens/1_artifice vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[36130/50000] 2026-06-28 13:37:38 | R4 | queens/1_artifice vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[36131/50000] 2026-06-28 13:37:39 | R4 | queens/1_artifice vs guessword/0_orig → NON-CLONE
[36132/50000] 2026-06-28 13:37:40 | R4 | queens/1_artifice vs guessword/1_artifice → NON-CLONE
[36133/50000] 2026-06-28 13:37:41 | R4 | queens/1_artifice vs guessword/test_0_orig_no_krakatau → NON-CLONE
[36134/50000] 2026-06-28 13:37:42 | R4 | queens/1_artifice vs guessword/test_0_orig_no_procyon → NON-CLONE
[36135/50000] 2026-06-28 13:37:43 | R4 | queens/1_artifice vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[36136/50000] 2026-06-28 13:37:44 | R4 | queens/1_artifice vs guessword/test_0_orig_pg_procyon → NON-CLONE
[36137/50000] 2026-06-28 13:37:45 | R4 | queens/1_artifice vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[36138/50000] 2026-06-28 13:37:45 | R4 | queens/1_artifice vs guessword/test_1_artifice_no_procyon → NON-CLONE
[36139/50000] 2026-06-28 13:37:46 | R4 | queens/1_artifice vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[36140/50000] 2026-06-28 13:37:47 | R4 | queens/1_artifice vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[36141/50000] 2026-06-28 13:37:48 | R4 | queens/1_artifice vs hanoi/0_orig → NON-CLONE
[36142/50000] 2026-06-28 13:37:49 | R4 | queens/1_artifice vs hanoi/1_artifice → NON-CLONE
[36143/50000] 2026-06-28 13:37:50 | R4 | queens/1_artifice vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[36144/50000] 2026-06-28 13:37:51 | R4 | queens/1_artifice vs hanoi/test_0_orig_no_procyon → NON-CLONE
[36145/50000] 2026-06-28 13:37:52 | R4 | queens/1_artifice vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[36146/50000] 2026-06-28 13:37:53 | R4 | queens/1_artifice vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[36147/50000] 2026-06-28 13:37:54 | R4 | queens/1_artifice vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[36148/50000] 2026-06-28 13:37:55 | R4 | queens/1_artifice vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[36149/50000] 2026-06-28 13:37:56 | R4 | queens/1_artifice vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[36150/50000] 2026-06-28 13:37:57 | R4 | queens/1_artifice vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[36151/50000] 2026-06-28 13:37:58 | R4 | queens/1_artifice vs kaprekar/0_orig → NON-CLONE
[36152/50000] 2026-06-28 13:37:59 | R4 | queens/1_artifice vs kaprekar/1_artifice → NON-CLONE
[36153/50000] 2026-06-28 13:38:00 | R4 | queens/1_artifice vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[36154/50000] 2026-06-28 13:38:01 | R4 | queens/1_artifice vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[36155/50000] 2026-06-28 13:38:02 | R4 | queens/1_artifice vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
