Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (21438 already done, 28562 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'gguf' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5 (1438 done, 8562 remaining) ---
[21439/50000] 2026-06-23 05:53:20 | R3 | SqrtAlgorithm/test_0_orig_pg_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[36702/50000] 2026-06-23 17:09:22 | R4 | queens/test_1_artifice_no_procyon vs InfixConverter/1_artifice → NON-CLONE
[36703/50000] 2026-06-23 17:09:26 | R4 | queens/test_1_artifice_no_procyon vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[36704/50000] 2026-06-23 17:09:29 | R4 | queens/test_1_artifice_no_procyon vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[36705/50000] 2026-06-23 17:09:32 | R4 | queens/test_1_artifice_no_procyon vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[36706/50000] 2026-06-23 17:09:36 | R4 | queens/test_1_artifice_no_procyon vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[36707/50000] 2026-06-23 17:09:40 | R4 | queens/test_1_artifice_no_procyon vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[36708/50000] 2026-06-23 17:09:43 | R4 | queens/test_1_artifice_no_procyon vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[36709/50000] 2026-06-23 17:09:46 | R4 | queens/test_1_artifice_no_procyon vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[36710/50000] 2026-06-23 17:09:49 | R4 | queens/test_1_artifice_no_procyon vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[36711/50000] 2026-06-23 17:09:53 | R4 | queens/test_1_artifice_no_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
[36712/50000] 2026-06-23 17:09:57 | R4 | queens/test_1_artifice_no_procyon vs SqrtAlgorithm/1_artifice → NON-CLONE
[36713/50000] 2026-06-23 17:10:00 | R4 | queens/test_1_artifice_no_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[36714/50000] 2026-06-23 17:10:03 | R4 | queens/test_1_artifice_no_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[36715/50000] 2026-06-23 17:10:06 | R4 | queens/test_1_artifice_no_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[36716/50000] 2026-06-23 17:10:10 | R4 | queens/test_1_artifice_no_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[36717/50000] 2026-06-23 17:10:14 | R4 | queens/test_1_artifice_no_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[36718/50000] 2026-06-23 17:10:18 | R4 | queens/test_1_artifice_no_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[36719/50000] 2026-06-23 17:10:20 | R4 | queens/test_1_artifice_no_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[36720/50000] 2026-06-23 17:10:23 | R4 | queens/test_1_artifice_no_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[36721/50000] 2026-06-23 17:10:25 | R4 | queens/test_1_artifice_no_procyon vs bubblesort/0_orig → NON-CLONE
[36722/50000] 2026-06-23 17:10:28 | R4 | queens/test_1_artifice_no_procyon vs bubblesort/1_artifice → NON-CLONE
[36723/50000] 2026-06-23 17:10:31 | R4 | queens/test_1_artifice_no_procyon vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[36724/50000] 2026-06-23 17:10:34 | R4 | queens/test_1_artifice_no_procyon vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[36725/50000] 2026-06-23 17:10:37 | R4 | queens/test_1_artifice_no_procyon vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[36726/50000] 2026-06-23 17:10:40 | R4 | queens/test_1_artifice_no_procyon vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[36727/50000] 2026-06-23 17:10:43 | R4 | queens/test_1_artifice_no_procyon vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[36728/50000] 2026-06-23 17:10:46 | R4 | queens/test_1_artifice_no_procyon vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[36729/50000] 2026-06-23 17:10:49 | R4 | queens/test_1_artifice_no_procyon vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[36730/50000] 2026-06-23 17:10:52 | R4 | queens/test_1_artifice_no_procyon vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[36731/50000] 2026-06-23 17:10:56 | R4 | queens/test_1_artifice_no_procyon vs guessword/0_orig → NON-CLONE
[36732/50000] 2026-06-23 17:10:59 | R4 | queens/test_1_artifice_no_procyon vs guessword/1_artifice → NON-CLONE
[36733/50000] 2026-06-23 17:11:03 | R4 | queens/test_1_artifice_no_procyon vs guessword/test_0_orig_no_krakatau → NON-CLONE
[36734/50000] 2026-06-23 17:11:07 | R4 | queens/test_1_artifice_no_procyon vs guessword/test_0_orig_no_procyon → NON-CLONE
[36735/50000] 2026-06-23 17:11:10 | R4 | queens/test_1_artifice_no_procyon vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[36736/50000] 2026-06-23 17:11:14 | R4 | queens/test_1_artifice_no_procyon vs guessword/test_0_orig_pg_procyon → NON-CLONE
[36737/50000] 2026-06-23 17:11:18 | R4 | queens/test_1_artifice_no_procyon vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[36738/50000] 2026-06-23 17:11:21 | R4 | queens/test_1_artifice_no_procyon vs guessword/test_1_artifice_no_procyon → NON-CLONE
[36739/50000] 2026-06-23 17:11:24 | R4 | queens/test_1_artifice_no_procyon vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[36740/50000] 2026-06-23 17:11:28 | R4 | queens/test_1_artifice_no_procyon vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[36741/50000] 2026-06-23 17:11:31 | R4 | queens/test_1_artifice_no_procyon vs hanoi/0_orig → NON-CLONE
[36742/50000] 2026-06-23 17:11:35 | R4 | queens/test_1_artifice_no_procyon vs hanoi/1_artifice → NON-CLONE
[36743/50000] 2026-06-23 17:11:38 | R4 | queens/test_1_artifice_no_procyon vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[36744/50000] 2026-06-23 17:11:40 | R4 | queens/test_1_artifice_no_procyon vs hanoi/test_0_orig_no_procyon → NON-CLONE
[36745/50000] 2026-06-23 17:11:43 | R4 | queens/test_1_artifice_no_procyon vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[36746/50000] 2026-06-23 17:11:46 | R4 | queens/test_1_artifice_no_procyon vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[36747/50000] 2026-06-23 17:11:49 | R4 | queens/test_1_artifice_no_procyon vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[36748/50000] 2026-06-23 17:11:53 | R4 | queens/test_1_artifice_no_procyon vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[36749/50000] 2026-06-23 17:11:56 | R4 | queens/test_1_artifice_no_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[36750/50000] 2026-06-23 17:11:58 | R4 | queens/test_1_artifice_no_procyon vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[36751/50000] 2026-06-23 17:12:02 | R4 | queens/test_1_artifice_no_procyon vs kaprekar/0_orig → NON-CLONE
[36752/50000] 2026-06-23 17:12:05 | R4 | queens/test_1_artifice_no_procyon vs kaprekar/1_artifice → NON-CLONE
[36753/50000] 2026-06-23 17:12:08 | R4 | queens/test_1_artifice_no_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[36754/50000] 2026-06-23 17:12:12 | R4 | queens/test_1_artifice_no_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[36755/50000] 2026-06-23 17:12:15 | R4 | queens/test_1_artifice_no_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[36756/50000] 2026-06-23 17:12:18 | R4 | queens/test_1_artifice_no_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[36757/50000] 2026-06-23 17:12:22 | R4 | queens/test_1_artifice_no_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[36758/50000] 2026-06-23 17:12:25 | R4 | queens/test_1_artifice_no_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[36759/50000] 2026-06-23 17:12:28 | R4 | queens/test_1_artifice_no_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[36760/50000] 2026-06-23 17:12:32 | R4 | queens/test_1_artifice_no_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[36761/50000] 2026-06-23 17:12:35 | R4 | queens/test_1_artifice_no_procyon vs queens/0_orig → CLONE
[36762/50000] 2026-06-23 17:12:38 | R4 | queens/test_1_artifice_no_procyon vs queens/1_artifice → CLONE
[36763/50000] 2026-06-23 17:12:40 | R4 | queens/test_1_artifice_no_procyon vs queens/test_0_orig_no_krakatau → CLONE
[36764/50000] 2026-06-23 17:12:43 | R4 | queens/test_1_artifice_no_procyon vs queens/test_0_orig_no_procyon → CLONE
[36765/50000] 2026-06-23 17:12:46 | R4 | queens/test_1_artifice_no_procyon vs queens/test_0_orig_pg_krakatau → CLONE
[36766/50000] 2026-06-23 17:12:48 | R4 | queens/test_1_artifice_no_procyon vs queens/test_0_orig_pg_procyon → CLONE
[36767/50000] 2026-06-23 17:12:50 | R4 | queens/test_1_artifice_no_procyon vs queens/test_1_artifice_no_krakatau → CLONE
[36768/50000] 2026-06-23 17:12:53 | R4 | queens/test_1_artifice_no_procyon vs queens/test_1_artifice_no_procyon → CLONE
[36769/50000] 2026-06-23 17:12:55 | R4 | queens/test_1_artifice_no_procyon vs queens/test_1_artifice_pg_krakatau → CLONE
[36770/50000] 2026-06-23 17:12:58 | R4 | queens/test_1_artifice_no_procyon vs queens/test_1_artifice_pg_procyon → CLONE
[36771/50000] 2026-06-23 17:13:00 | R4 | queens/test_1_artifice_no_procyon vs railroadcar/0_orig → NON-CLONE
[36772/50000] 2026-06-23 17:13:03 | R4 | queens/test_1_artifice_no_procyon vs railroadcar/1_artifice → NON-CLONE
[36773/50000] 2026-06-23 17:13:07 | R4 | queens/test_1_artifice_no_procyon vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[36774/50000] 2026-06-23 17:13:10 | R4 | queens/test_1_artifice_no_procyon vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[36775/50000] 2026-06-23 17:13:12 | R4 | queens/test_1_artifice_no_procyon vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[36776/50000] 2026-06-23 17:13:16 | R4 | queens/test_1_artifice_no_procyon vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[36777/50000] 2026-06-23 17:13:19 | R4 | queens/test_1_artifice_no_procyon vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[36778/50000] 2026-06-23 17:13:22 | R4 | queens/test_1_artifice_no_procyon vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[36779/50000] 2026-06-23 17:13:25 | R4 | queens/test_1_artifice_no_procyon vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[36780/50000] 2026-06-23 17:13:28 | R4 | queens/test_1_artifice_no_procyon vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[36781/50000] 2026-06-23 17:13:31 | R4 | queens/test_1_artifice_no_procyon vs slinkedlist/0_orig → NON-CLONE
[36782/50000] 2026-06-23 17:13:33 | R4 | queens/test_1_artifice_no_procyon vs slinkedlist/1_artifice → NON-CLONE
[36783/50000] 2026-06-23 17:13:36 | R4 | queens/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[36784/50000] 2026-06-23 17:13:39 | R4 | queens/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[36785/50000] 2026-06-23 17:13:42 | R4 | queens/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[36786/50000] 2026-06-23 17:13:46 | R4 | queens/test_1_artifice_no_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[36787/50000] 2026-06-23 17:13:50 | R4 | queens/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[36788/50000] 2026-06-23 17:13:52 | R4 | queens/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[36789/50000] 2026-06-23 17:13:55 | R4 | queens/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[36790/50000] 2026-06-23 17:13:59 | R4 | queens/test_1_artifice_no_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[36791/50000] 2026-06-23 17:14:02 | R4 | queens/test_1_artifice_no_procyon vs square/0_orig → NON-CLONE
[36792/50000] 2026-06-23 17:14:04 | R4 | queens/test_1_artifice_no_procyon vs square/1_artifice → NON-CLONE
[36793/50000] 2026-06-23 17:14:08 | R4 | queens/test_1_artifice_no_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
[36794/50000] 2026-06-23 17:14:10 | R4 | queens/test_1_artifice_no_procyon vs square/test_0_orig_no_procyon → NON-CLONE
[36795/50000] 2026-06-23 17:14:13 | R4 | queens/test_1_artifice_no_procyon vs square/test_0_orig_pg_krakatau → NON-CLONE
[36796/50000] 2026-06-23 17:14:16 | R4 | queens/test_1_artifice_no_procyon vs square/test_0_orig_pg_procyon → NON-CLONE
[36797/50000] 2026-06-23 17:14:19 | R4 | queens/test_1_artifice_no_procyon vs square/test_1_artifice_no_krakatau → NON-CLONE
[36798/50000] 2026-06-23 17:14:22 | R4 | queens/test_1_artifice_no_procyon vs square/test_1_artifice_no_procyon → NON-CLONE
[36799/50000] 2026-06-23 17:14:25 | R4 | queens/test_1_artifice_no_procyon vs square/test_1_artifice_pg_krakatau → NON-CLONE
[36800/50000] 2026-06-23 17:14:27 | R4 | queens/test_1_artifice_no_procyon vs square/test_1_artifice_pg_procyon → NON-CLONE
[36801/50000] 2026-06-23 17:14:31 | R4 | queens/test_1_artifice_pg_krakatau vs InfixConverter/0_orig → NON-CLONE
[36802/50000] 2026-06-23 17:14:34 | R4 | queens/test_1_artifice_pg_krakatau vs InfixConverter/1_artifice → NON-CLONE
[36803/50000] 2026-06-23 17:14:36 | R4 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_no_krakatau → NON-CLONE
[36804/50000] 2026-06-23 17:14:39 | R4 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_no_procyon → NON-CLONE
[36805/50000] 2026-06-23 17:14:42 | R4 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_pg_krakatau → NON-CLONE
[36806/50000] 2026-06-23 17:14:45 | R4 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_0_orig_pg_procyon → NON-CLONE
[36807/50000] 2026-06-23 17:14:47 | R4 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_no_krakatau → NON-CLONE
[36808/50000] 2026-06-23 17:14:51 | R4 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_no_procyon → NON-CLONE
[36809/50000] 2026-06-23 17:14:54 | R4 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_pg_krakatau → NON-CLONE
[36810/50000] 2026-06-23 17:14:57 | R4 | queens/test_1_artifice_pg_krakatau vs InfixConverter/test_1_artifice_pg_procyon → NON-CLONE
[36811/50000] 2026-06-23 17:15:00 | R4 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/0_orig → NON-CLONE
[36812/50000] 2026-06-23 17:15:02 | R4 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/1_artifice → NON-CLONE
[36813/50000] 2026-06-23 17:15:06 | R4 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[36814/50000] 2026-06-23 17:15:09 | R4 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[36815/50000] 2026-06-23 17:15:13 | R4 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[36816/50000] 2026-06-23 17:15:15 | R4 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[36817/50000] 2026-06-23 17:15:19 | R4 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[36818/50000] 2026-06-23 17:15:22 | R4 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[36819/50000] 2026-06-23 17:15:24 | R4 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[36820/50000] 2026-06-23 17:15:28 | R4 | queens/test_1_artifice_pg_krakatau vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[36821/50000] 2026-06-23 17:15:31 | R4 | queens/test_1_artifice_pg_krakatau vs bubblesort/0_orig → NON-CLONE
[36822/50000] 2026-06-23 17:15:34 | R4 | queens/test_1_artifice_pg_krakatau vs bubblesort/1_artifice → NON-CLONE
[36823/50000] 2026-06-23 17:15:36 | R4 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[36824/50000] 2026-06-23 17:15:40 | R4 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[36825/50000] 2026-06-23 17:15:42 | R4 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[36826/50000] 2026-06-23 17:15:45 | R4 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[36827/50000] 2026-06-23 17:15:47 | R4 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[36828/50000] 2026-06-23 17:15:50 | R4 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[36829/50000] 2026-06-23 17:15:54 | R4 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[36830/50000] 2026-06-23 17:15:56 | R4 | queens/test_1_artifice_pg_krakatau vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[36831/50000] 2026-06-23 17:15:59 | R4 | queens/test_1_artifice_pg_krakatau vs guessword/0_orig → NON-CLONE
[36832/50000] 2026-06-23 17:16:02 | R4 | queens/test_1_artifice_pg_krakatau vs guessword/1_artifice → NON-CLONE
[36833/50000] 2026-06-23 17:16:06 | R4 | queens/test_1_artifice_pg_krakatau vs guessword/test_0_orig_no_krakatau → NON-CLONE
[36834/50000] 2026-06-23 17:16:10 | R4 | queens/test_1_artifice_pg_krakatau vs guessword/test_0_orig_no_procyon → NON-CLONE
[36835/50000] 2026-06-23 17:16:12 | R4 | queens/test_1_artifice_pg_krakatau vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[36836/50000] 2026-06-23 17:16:16 | R4 | queens/test_1_artifice_pg_krakatau vs guessword/test_0_orig_pg_procyon → NON-CLONE
[36837/50000] 2026-06-23 17:16:18 | R4 | queens/test_1_artifice_pg_krakatau vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[36838/50000] 2026-06-23 17:16:21 | R4 | queens/test_1_artifice_pg_krakatau vs guessword/test_1_artifice_no_procyon → NON-CLONE
[36839/50000] 2026-06-23 17:16:25 | R4 | queens/test_1_artifice_pg_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[36840/50000] 2026-06-23 17:16:27 | R4 | queens/test_1_artifice_pg_krakatau vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[36841/50000] 2026-06-23 17:16:30 | R4 | queens/test_1_artifice_pg_krakatau vs hanoi/0_orig → NON-CLONE
[36842/50000] 2026-06-23 17:16:33 | R4 | queens/test_1_artifice_pg_krakatau vs hanoi/1_artifice → NON-CLONE
[36843/50000] 2026-06-23 17:16:36 | R4 | queens/test_1_artifice_pg_krakatau vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[36844/50000] 2026-06-23 17:16:39 | R4 | queens/test_1_artifice_pg_krakatau vs hanoi/test_0_orig_no_procyon → NON-CLONE
[36845/50000] 2026-06-23 17:16:42 | R4 | queens/test_1_artifice_pg_krakatau vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[36846/50000] 2026-06-23 17:16:46 | R4 | queens/test_1_artifice_pg_krakatau vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[36847/50000] 2026-06-23 17:16:48 | R4 | queens/test_1_artifice_pg_krakatau vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[36848/50000] 2026-06-23 17:16:50 | R4 | queens/test_1_artifice_pg_krakatau vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[36849/50000] 2026-06-23 17:16:54 | R4 | queens/test_1_artifice_pg_krakatau vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[36850/50000] 2026-06-23 17:16:58 | R4 | queens/test_1_artifice_pg_krakatau vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[36851/50000] 2026-06-23 17:17:02 | R4 | queens/test_1_artifice_pg_krakatau vs kaprekar/0_orig → NON-CLONE
[36852/50000] 2026-06-23 17:17:05 | R4 | queens/test_1_artifice_pg_krakatau vs kaprekar/1_artifice → NON-CLONE
[36853/50000] 2026-06-23 17:17:09 | R4 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[36854/50000] 2026-06-23 17:17:12 | R4 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[36855/50000] 2026-06-23 17:17:15 | R4 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[36856/50000] 2026-06-23 17:17:18 | R4 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[36857/50000] 2026-06-23 17:17:22 | R4 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[36858/50000] 2026-06-23 17:17:25 | R4 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[36859/50000] 2026-06-23 17:17:28 | R4 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[36860/50000] 2026-06-23 17:17:32 | R4 | queens/test_1_artifice_pg_krakatau vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[36861/50000] 2026-06-23 17:17:34 | R4 | queens/test_1_artifice_pg_krakatau vs queens/0_orig → CLONE
[36862/50000] 2026-06-23 17:17:37 | R4 | queens/test_1_artifice_pg_krakatau vs queens/1_artifice → CLONE
[36863/50000] 2026-06-23 17:17:40 | R4 | queens/test_1_artifice_pg_krakatau vs queens/test_0_orig_no_krakatau → CLONE
[36864/50000] 2026-06-23 17:17:43 | R4 | queens/test_1_artifice_pg_krakatau vs queens/test_0_orig_no_procyon → CLONE
[36865/50000] 2026-06-23 17:17:46 | R4 | queens/test_1_artifice_pg_krakatau vs queens/test_0_orig_pg_krakatau → CLONE
[36866/50000] 2026-06-23 17:17:48 | R4 | queens/test_1_artifice_pg_krakatau vs queens/test_0_orig_pg_procyon → CLONE
[36867/50000] 2026-06-23 17:17:52 | R4 | queens/test_1_artifice_pg_krakatau vs queens/test_1_artifice_no_krakatau → CLONE
[36868/50000] 2026-06-23 17:17:55 | R4 | queens/test_1_artifice_pg_krakatau vs queens/test_1_artifice_no_procyon → CLONE
[36869/50000] 2026-06-23 17:17:58 | R4 | queens/test_1_artifice_pg_krakatau vs queens/test_1_artifice_pg_krakatau → CLONE
[36870/50000] 2026-06-23 17:18:01 | R4 | queens/test_1_artifice_pg_krakatau vs queens/test_1_artifice_pg_procyon → CLONE
[36871/50000] 2026-06-23 17:18:05 | R4 | queens/test_1_artifice_pg_krakatau vs railroadcar/0_orig → NON-CLONE
[36872/50000] 2026-06-23 17:18:08 | R4 | queens/test_1_artifice_pg_krakatau vs railroadcar/1_artifice → NON-CLONE
[36873/50000] 2026-06-23 17:18:12 | R4 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[36874/50000] 2026-06-23 17:18:16 | R4 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[36875/50000] 2026-06-23 17:18:19 | R4 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[36876/50000] 2026-06-23 17:18:21 | R4 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[36877/50000] 2026-06-23 17:18:24 | R4 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[36878/50000] 2026-06-23 17:18:27 | R4 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[36879/50000] 2026-06-23 17:18:31 | R4 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[36880/50000] 2026-06-23 17:18:34 | R4 | queens/test_1_artifice_pg_krakatau vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[36881/50000] 2026-06-23 17:18:36 | R4 | queens/test_1_artifice_pg_krakatau vs slinkedlist/0_orig → NON-CLONE
[36882/50000] 2026-06-23 17:18:39 | R4 | queens/test_1_artifice_pg_krakatau vs slinkedlist/1_artifice → NON-CLONE
[36883/50000] 2026-06-23 17:18:42 | R4 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[36884/50000] 2026-06-23 17:18:45 | R4 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[36885/50000] 2026-06-23 17:18:47 | R4 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[36886/50000] 2026-06-23 17:18:50 | R4 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[36887/50000] 2026-06-23 17:18:53 | R4 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[36888/50000] 2026-06-23 17:18:55 | R4 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[36889/50000] 2026-06-23 17:18:59 | R4 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[36890/50000] 2026-06-23 17:19:01 | R4 | queens/test_1_artifice_pg_krakatau vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[36891/50000] 2026-06-23 17:19:04 | R4 | queens/test_1_artifice_pg_krakatau vs square/0_orig → NON-CLONE
[36892/50000] 2026-06-23 17:19:08 | R4 | queens/test_1_artifice_pg_krakatau vs square/1_artifice → NON-CLONE
