Loaded 100 files → 10000 pairs × 5 round(s) = 50000 total (32457 already done, 17543 remaining)
/home/chaiyong.rag/quantization-clone-study/gguf/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py:205: UserWarning: The `local_dir_use_symlinks` argument is deprecated and ignored in `hf_hub_download`. Downloading to a local directory does not use symlinks anymore.
  warnings.warn(
llama_context: n_ctx_seq (8192) < n_ctx_train (131072) -- the full capacity of the model will not be utilized
Model 'qwen' loaded. Starting inference...
--- Round 1/5: already complete, skipping ---
--- Round 2/5: already complete, skipping ---
--- Round 3/5: already complete, skipping ---
--- Round 4/5 (2457 done, 7543 remaining) ---
[32458/50000] 2026-06-28 16:29:01 | R4 | bubblesort/test_0_orig_pg_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[40238/50000] 2026-06-28 17:48:53 | R5 | InfixConverter/test_0_orig_no_krakatau vs guessword/test_1_artifice_no_procyon → NON-CLONE
[40239/50000] 2026-06-28 17:48:54 | R5 | InfixConverter/test_0_orig_no_krakatau vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[40240/50000] 2026-06-28 17:48:54 | R5 | InfixConverter/test_0_orig_no_krakatau vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[40241/50000] 2026-06-28 17:48:55 | R5 | InfixConverter/test_0_orig_no_krakatau vs hanoi/0_orig → NON-CLONE
[40242/50000] 2026-06-28 17:48:56 | R5 | InfixConverter/test_0_orig_no_krakatau vs hanoi/1_artifice → NON-CLONE
[40243/50000] 2026-06-28 17:48:56 | R5 | InfixConverter/test_0_orig_no_krakatau vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[40244/50000] 2026-06-28 17:48:57 | R5 | InfixConverter/test_0_orig_no_krakatau vs hanoi/test_0_orig_no_procyon → NON-CLONE
[40245/50000] 2026-06-28 17:48:57 | R5 | InfixConverter/test_0_orig_no_krakatau vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[40246/50000] 2026-06-28 17:48:58 | R5 | InfixConverter/test_0_orig_no_krakatau vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[40247/50000] 2026-06-28 17:48:58 | R5 | InfixConverter/test_0_orig_no_krakatau vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[40248/50000] 2026-06-28 17:48:59 | R5 | InfixConverter/test_0_orig_no_krakatau vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[40249/50000] 2026-06-28 17:49:00 | R5 | InfixConverter/test_0_orig_no_krakatau vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[40250/50000] 2026-06-28 17:49:00 | R5 | InfixConverter/test_0_orig_no_krakatau vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[40251/50000] 2026-06-28 17:49:01 | R5 | InfixConverter/test_0_orig_no_krakatau vs kaprekar/0_orig → NON-CLONE
[40252/50000] 2026-06-28 17:49:01 | R5 | InfixConverter/test_0_orig_no_krakatau vs kaprekar/1_artifice → NON-CLONE
[40253/50000] 2026-06-28 17:49:02 | R5 | InfixConverter/test_0_orig_no_krakatau vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[40254/50000] 2026-06-28 17:49:02 | R5 | InfixConverter/test_0_orig_no_krakatau vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[40255/50000] 2026-06-28 17:49:03 | R5 | InfixConverter/test_0_orig_no_krakatau vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[40256/50000] 2026-06-28 17:49:03 | R5 | InfixConverter/test_0_orig_no_krakatau vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[40257/50000] 2026-06-28 17:49:04 | R5 | InfixConverter/test_0_orig_no_krakatau vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[40258/50000] 2026-06-28 17:49:04 | R5 | InfixConverter/test_0_orig_no_krakatau vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[40259/50000] 2026-06-28 17:49:05 | R5 | InfixConverter/test_0_orig_no_krakatau vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[40260/50000] 2026-06-28 17:49:05 | R5 | InfixConverter/test_0_orig_no_krakatau vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[40261/50000] 2026-06-28 17:49:06 | R5 | InfixConverter/test_0_orig_no_krakatau vs queens/0_orig → NON-CLONE
[40262/50000] 2026-06-28 17:49:06 | R5 | InfixConverter/test_0_orig_no_krakatau vs queens/1_artifice → NON-CLONE
[40263/50000] 2026-06-28 17:49:07 | R5 | InfixConverter/test_0_orig_no_krakatau vs queens/test_0_orig_no_krakatau → NON-CLONE
[40264/50000] 2026-06-28 17:49:07 | R5 | InfixConverter/test_0_orig_no_krakatau vs queens/test_0_orig_no_procyon → NON-CLONE
[40265/50000] 2026-06-28 17:49:08 | R5 | InfixConverter/test_0_orig_no_krakatau vs queens/test_0_orig_pg_krakatau → NON-CLONE
[40266/50000] 2026-06-28 17:49:08 | R5 | InfixConverter/test_0_orig_no_krakatau vs queens/test_0_orig_pg_procyon → NON-CLONE
[40267/50000] 2026-06-28 17:49:09 | R5 | InfixConverter/test_0_orig_no_krakatau vs queens/test_1_artifice_no_krakatau → NON-CLONE
[40268/50000] 2026-06-28 17:49:10 | R5 | InfixConverter/test_0_orig_no_krakatau vs queens/test_1_artifice_no_procyon → NON-CLONE
[40269/50000] 2026-06-28 17:49:10 | R5 | InfixConverter/test_0_orig_no_krakatau vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[40270/50000] 2026-06-28 17:49:11 | R5 | InfixConverter/test_0_orig_no_krakatau vs queens/test_1_artifice_pg_procyon → NON-CLONE
[40271/50000] 2026-06-28 17:49:11 | R5 | InfixConverter/test_0_orig_no_krakatau vs railroadcar/0_orig → NON-CLONE
[40272/50000] 2026-06-28 17:49:12 | R5 | InfixConverter/test_0_orig_no_krakatau vs railroadcar/1_artifice → NON-CLONE
[40273/50000] 2026-06-28 17:49:12 | R5 | InfixConverter/test_0_orig_no_krakatau vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[40274/50000] 2026-06-28 17:49:13 | R5 | InfixConverter/test_0_orig_no_krakatau vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[40275/50000] 2026-06-28 17:49:13 | R5 | InfixConverter/test_0_orig_no_krakatau vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[40276/50000] 2026-06-28 17:49:14 | R5 | InfixConverter/test_0_orig_no_krakatau vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[40277/50000] 2026-06-28 17:49:14 | R5 | InfixConverter/test_0_orig_no_krakatau vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[40278/50000] 2026-06-28 17:49:15 | R5 | InfixConverter/test_0_orig_no_krakatau vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[40279/50000] 2026-06-28 17:49:15 | R5 | InfixConverter/test_0_orig_no_krakatau vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[40280/50000] 2026-06-28 17:49:16 | R5 | InfixConverter/test_0_orig_no_krakatau vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[40281/50000] 2026-06-28 17:49:17 | R5 | InfixConverter/test_0_orig_no_krakatau vs slinkedlist/0_orig → NON-CLONE
[40282/50000] 2026-06-28 17:49:17 | R5 | InfixConverter/test_0_orig_no_krakatau vs slinkedlist/1_artifice → NON-CLONE
[40283/50000] 2026-06-28 17:49:18 | R5 | InfixConverter/test_0_orig_no_krakatau vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[40284/50000] 2026-06-28 17:49:18 | R5 | InfixConverter/test_0_orig_no_krakatau vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[40285/50000] 2026-06-28 17:49:19 | R5 | InfixConverter/test_0_orig_no_krakatau vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[40286/50000] 2026-06-28 17:49:19 | R5 | InfixConverter/test_0_orig_no_krakatau vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[40287/50000] 2026-06-28 17:49:20 | R5 | InfixConverter/test_0_orig_no_krakatau vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[40288/50000] 2026-06-28 17:49:21 | R5 | InfixConverter/test_0_orig_no_krakatau vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[40289/50000] 2026-06-28 17:49:21 | R5 | InfixConverter/test_0_orig_no_krakatau vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[40290/50000] 2026-06-28 17:49:22 | R5 | InfixConverter/test_0_orig_no_krakatau vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[40291/50000] 2026-06-28 17:49:22 | R5 | InfixConverter/test_0_orig_no_krakatau vs square/0_orig → NON-CLONE
[40292/50000] 2026-06-28 17:49:23 | R5 | InfixConverter/test_0_orig_no_krakatau vs square/1_artifice → NON-CLONE
[40293/50000] 2026-06-28 17:49:23 | R5 | InfixConverter/test_0_orig_no_krakatau vs square/test_0_orig_no_krakatau → NON-CLONE
[40294/50000] 2026-06-28 17:49:24 | R5 | InfixConverter/test_0_orig_no_krakatau vs square/test_0_orig_no_procyon → NON-CLONE
[40295/50000] 2026-06-28 17:49:25 | R5 | InfixConverter/test_0_orig_no_krakatau vs square/test_0_orig_pg_krakatau → NON-CLONE
[40296/50000] 2026-06-28 17:49:25 | R5 | InfixConverter/test_0_orig_no_krakatau vs square/test_0_orig_pg_procyon → NON-CLONE
[40297/50000] 2026-06-28 17:49:26 | R5 | InfixConverter/test_0_orig_no_krakatau vs square/test_1_artifice_no_krakatau → NON-CLONE
[40298/50000] 2026-06-28 17:49:26 | R5 | InfixConverter/test_0_orig_no_krakatau vs square/test_1_artifice_no_procyon → NON-CLONE
[40299/50000] 2026-06-28 17:49:27 | R5 | InfixConverter/test_0_orig_no_krakatau vs square/test_1_artifice_pg_krakatau → NON-CLONE
[40300/50000] 2026-06-28 17:49:27 | R5 | InfixConverter/test_0_orig_no_krakatau vs square/test_1_artifice_pg_procyon → NON-CLONE
[40301/50000] 2026-06-28 17:49:28 | R5 | InfixConverter/test_0_orig_no_procyon vs InfixConverter/0_orig → CLONE
[40302/50000] 2026-06-28 17:49:29 | R5 | InfixConverter/test_0_orig_no_procyon vs InfixConverter/1_artifice → CLONE
[40303/50000] 2026-06-28 17:49:29 | R5 | InfixConverter/test_0_orig_no_procyon vs InfixConverter/test_0_orig_no_krakatau → CLONE
[40304/50000] 2026-06-28 17:49:30 | R5 | InfixConverter/test_0_orig_no_procyon vs InfixConverter/test_0_orig_no_procyon → CLONE
[40305/50000] 2026-06-28 17:49:31 | R5 | InfixConverter/test_0_orig_no_procyon vs InfixConverter/test_0_orig_pg_krakatau → CLONE
[40306/50000] 2026-06-28 17:49:31 | R5 | InfixConverter/test_0_orig_no_procyon vs InfixConverter/test_0_orig_pg_procyon → CLONE
[40307/50000] 2026-06-28 17:49:32 | R5 | InfixConverter/test_0_orig_no_procyon vs InfixConverter/test_1_artifice_no_krakatau → CLONE
[40308/50000] 2026-06-28 17:49:32 | R5 | InfixConverter/test_0_orig_no_procyon vs InfixConverter/test_1_artifice_no_procyon → CLONE
[40309/50000] 2026-06-28 17:49:33 | R5 | InfixConverter/test_0_orig_no_procyon vs InfixConverter/test_1_artifice_pg_krakatau → CLONE
[40310/50000] 2026-06-28 17:49:34 | R5 | InfixConverter/test_0_orig_no_procyon vs InfixConverter/test_1_artifice_pg_procyon → CLONE
[40311/50000] 2026-06-28 17:49:34 | R5 | InfixConverter/test_0_orig_no_procyon vs SqrtAlgorithm/0_orig → NON-CLONE
[40312/50000] 2026-06-28 17:49:35 | R5 | InfixConverter/test_0_orig_no_procyon vs SqrtAlgorithm/1_artifice → NON-CLONE
[40313/50000] 2026-06-28 17:49:36 | R5 | InfixConverter/test_0_orig_no_procyon vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[40314/50000] 2026-06-28 17:49:36 | R5 | InfixConverter/test_0_orig_no_procyon vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[40315/50000] 2026-06-28 17:49:37 | R5 | InfixConverter/test_0_orig_no_procyon vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[40316/50000] 2026-06-28 17:49:37 | R5 | InfixConverter/test_0_orig_no_procyon vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[40317/50000] 2026-06-28 17:49:38 | R5 | InfixConverter/test_0_orig_no_procyon vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[40318/50000] 2026-06-28 17:49:39 | R5 | InfixConverter/test_0_orig_no_procyon vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[40319/50000] 2026-06-28 17:49:39 | R5 | InfixConverter/test_0_orig_no_procyon vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[40320/50000] 2026-06-28 17:49:40 | R5 | InfixConverter/test_0_orig_no_procyon vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[40321/50000] 2026-06-28 17:49:41 | R5 | InfixConverter/test_0_orig_no_procyon vs bubblesort/0_orig → NON-CLONE
[40322/50000] 2026-06-28 17:49:41 | R5 | InfixConverter/test_0_orig_no_procyon vs bubblesort/1_artifice → NON-CLONE
[40323/50000] 2026-06-28 17:49:42 | R5 | InfixConverter/test_0_orig_no_procyon vs bubblesort/test_0_orig_no_krakatau → NON-CLONE
[40324/50000] 2026-06-28 17:49:42 | R5 | InfixConverter/test_0_orig_no_procyon vs bubblesort/test_0_orig_no_procyon → NON-CLONE
[40325/50000] 2026-06-28 17:49:43 | R5 | InfixConverter/test_0_orig_no_procyon vs bubblesort/test_0_orig_pg_krakatau → NON-CLONE
[40326/50000] 2026-06-28 17:49:43 | R5 | InfixConverter/test_0_orig_no_procyon vs bubblesort/test_0_orig_pg_procyon → NON-CLONE
[40327/50000] 2026-06-28 17:49:44 | R5 | InfixConverter/test_0_orig_no_procyon vs bubblesort/test_1_artifice_no_krakatau → NON-CLONE
[40328/50000] 2026-06-28 17:49:45 | R5 | InfixConverter/test_0_orig_no_procyon vs bubblesort/test_1_artifice_no_procyon → NON-CLONE
[40329/50000] 2026-06-28 17:49:45 | R5 | InfixConverter/test_0_orig_no_procyon vs bubblesort/test_1_artifice_pg_krakatau → NON-CLONE
[40330/50000] 2026-06-28 17:49:46 | R5 | InfixConverter/test_0_orig_no_procyon vs bubblesort/test_1_artifice_pg_procyon → NON-CLONE
[40331/50000] 2026-06-28 17:49:46 | R5 | InfixConverter/test_0_orig_no_procyon vs guessword/0_orig → NON-CLONE
[40332/50000] 2026-06-28 17:49:47 | R5 | InfixConverter/test_0_orig_no_procyon vs guessword/1_artifice → NON-CLONE
[40333/50000] 2026-06-28 17:49:47 | R5 | InfixConverter/test_0_orig_no_procyon vs guessword/test_0_orig_no_krakatau → NON-CLONE
[40334/50000] 2026-06-28 17:49:48 | R5 | InfixConverter/test_0_orig_no_procyon vs guessword/test_0_orig_no_procyon → NON-CLONE
[40335/50000] 2026-06-28 17:49:48 | R5 | InfixConverter/test_0_orig_no_procyon vs guessword/test_0_orig_pg_krakatau → NON-CLONE
[40336/50000] 2026-06-28 17:49:49 | R5 | InfixConverter/test_0_orig_no_procyon vs guessword/test_0_orig_pg_procyon → NON-CLONE
[40337/50000] 2026-06-28 17:49:50 | R5 | InfixConverter/test_0_orig_no_procyon vs guessword/test_1_artifice_no_krakatau → NON-CLONE
[40338/50000] 2026-06-28 17:49:50 | R5 | InfixConverter/test_0_orig_no_procyon vs guessword/test_1_artifice_no_procyon → NON-CLONE
[40339/50000] 2026-06-28 17:49:51 | R5 | InfixConverter/test_0_orig_no_procyon vs guessword/test_1_artifice_pg_krakatau → NON-CLONE
[40340/50000] 2026-06-28 17:49:51 | R5 | InfixConverter/test_0_orig_no_procyon vs guessword/test_1_artifice_pg_procyon → NON-CLONE
[40341/50000] 2026-06-28 17:49:52 | R5 | InfixConverter/test_0_orig_no_procyon vs hanoi/0_orig → NON-CLONE
[40342/50000] 2026-06-28 17:49:52 | R5 | InfixConverter/test_0_orig_no_procyon vs hanoi/1_artifice → NON-CLONE
[40343/50000] 2026-06-28 17:49:53 | R5 | InfixConverter/test_0_orig_no_procyon vs hanoi/test_0_orig_no_krakatau → NON-CLONE
[40344/50000] 2026-06-28 17:49:53 | R5 | InfixConverter/test_0_orig_no_procyon vs hanoi/test_0_orig_no_procyon → NON-CLONE
[40345/50000] 2026-06-28 17:49:54 | R5 | InfixConverter/test_0_orig_no_procyon vs hanoi/test_0_orig_pg_krakatau → NON-CLONE
[40346/50000] 2026-06-28 17:49:55 | R5 | InfixConverter/test_0_orig_no_procyon vs hanoi/test_0_orig_pg_procyon → NON-CLONE
[40347/50000] 2026-06-28 17:49:55 | R5 | InfixConverter/test_0_orig_no_procyon vs hanoi/test_1_artifice_no_krakatau → NON-CLONE
[40348/50000] 2026-06-28 17:49:56 | R5 | InfixConverter/test_0_orig_no_procyon vs hanoi/test_1_artifice_no_procyon → NON-CLONE
[40349/50000] 2026-06-28 17:49:56 | R5 | InfixConverter/test_0_orig_no_procyon vs hanoi/test_1_artifice_pg_krakatau → NON-CLONE
[40350/50000] 2026-06-28 17:49:57 | R5 | InfixConverter/test_0_orig_no_procyon vs hanoi/test_1_artifice_pg_procyon → NON-CLONE
[40351/50000] 2026-06-28 17:49:58 | R5 | InfixConverter/test_0_orig_no_procyon vs kaprekar/0_orig → NON-CLONE
[40352/50000] 2026-06-28 17:49:58 | R5 | InfixConverter/test_0_orig_no_procyon vs kaprekar/1_artifice → NON-CLONE
[40353/50000] 2026-06-28 17:49:59 | R5 | InfixConverter/test_0_orig_no_procyon vs kaprekar/test_0_orig_no_krakatau → NON-CLONE
[40354/50000] 2026-06-28 17:49:59 | R5 | InfixConverter/test_0_orig_no_procyon vs kaprekar/test_0_orig_no_procyon → NON-CLONE
[40355/50000] 2026-06-28 17:50:00 | R5 | InfixConverter/test_0_orig_no_procyon vs kaprekar/test_0_orig_pg_krakatau → NON-CLONE
[40356/50000] 2026-06-28 17:50:01 | R5 | InfixConverter/test_0_orig_no_procyon vs kaprekar/test_0_orig_pg_procyon → NON-CLONE
[40357/50000] 2026-06-28 17:50:01 | R5 | InfixConverter/test_0_orig_no_procyon vs kaprekar/test_1_artifice_no_krakatau → NON-CLONE
[40358/50000] 2026-06-28 17:50:02 | R5 | InfixConverter/test_0_orig_no_procyon vs kaprekar/test_1_artifice_no_procyon → NON-CLONE
[40359/50000] 2026-06-28 17:50:02 | R5 | InfixConverter/test_0_orig_no_procyon vs kaprekar/test_1_artifice_pg_krakatau → NON-CLONE
[40360/50000] 2026-06-28 17:50:03 | R5 | InfixConverter/test_0_orig_no_procyon vs kaprekar/test_1_artifice_pg_procyon → NON-CLONE
[40361/50000] 2026-06-28 17:50:04 | R5 | InfixConverter/test_0_orig_no_procyon vs queens/0_orig → NON-CLONE
[40362/50000] 2026-06-28 17:50:04 | R5 | InfixConverter/test_0_orig_no_procyon vs queens/1_artifice → NON-CLONE
[40363/50000] 2026-06-28 17:50:05 | R5 | InfixConverter/test_0_orig_no_procyon vs queens/test_0_orig_no_krakatau → NON-CLONE
[40364/50000] 2026-06-28 17:50:06 | R5 | InfixConverter/test_0_orig_no_procyon vs queens/test_0_orig_no_procyon → NON-CLONE
[40365/50000] 2026-06-28 17:50:06 | R5 | InfixConverter/test_0_orig_no_procyon vs queens/test_0_orig_pg_krakatau → NON-CLONE
[40366/50000] 2026-06-28 17:50:07 | R5 | InfixConverter/test_0_orig_no_procyon vs queens/test_0_orig_pg_procyon → NON-CLONE
[40367/50000] 2026-06-28 17:50:08 | R5 | InfixConverter/test_0_orig_no_procyon vs queens/test_1_artifice_no_krakatau → NON-CLONE
[40368/50000] 2026-06-28 17:50:08 | R5 | InfixConverter/test_0_orig_no_procyon vs queens/test_1_artifice_no_procyon → NON-CLONE
[40369/50000] 2026-06-28 17:50:09 | R5 | InfixConverter/test_0_orig_no_procyon vs queens/test_1_artifice_pg_krakatau → NON-CLONE
[40370/50000] 2026-06-28 17:50:10 | R5 | InfixConverter/test_0_orig_no_procyon vs queens/test_1_artifice_pg_procyon → NON-CLONE
[40371/50000] 2026-06-28 17:50:10 | R5 | InfixConverter/test_0_orig_no_procyon vs railroadcar/0_orig → NON-CLONE
[40372/50000] 2026-06-28 17:50:11 | R5 | InfixConverter/test_0_orig_no_procyon vs railroadcar/1_artifice → NON-CLONE
[40373/50000] 2026-06-28 17:50:11 | R5 | InfixConverter/test_0_orig_no_procyon vs railroadcar/test_0_orig_no_krakatau → NON-CLONE
[40374/50000] 2026-06-28 17:50:12 | R5 | InfixConverter/test_0_orig_no_procyon vs railroadcar/test_0_orig_no_procyon → NON-CLONE
[40375/50000] 2026-06-28 17:50:12 | R5 | InfixConverter/test_0_orig_no_procyon vs railroadcar/test_0_orig_pg_krakatau → NON-CLONE
[40376/50000] 2026-06-28 17:50:13 | R5 | InfixConverter/test_0_orig_no_procyon vs railroadcar/test_0_orig_pg_procyon → NON-CLONE
[40377/50000] 2026-06-28 17:50:13 | R5 | InfixConverter/test_0_orig_no_procyon vs railroadcar/test_1_artifice_no_krakatau → NON-CLONE
[40378/50000] 2026-06-28 17:50:13 | R5 | InfixConverter/test_0_orig_no_procyon vs railroadcar/test_1_artifice_no_procyon → NON-CLONE
[40379/50000] 2026-06-28 17:50:14 | R5 | InfixConverter/test_0_orig_no_procyon vs railroadcar/test_1_artifice_pg_krakatau → NON-CLONE
[40380/50000] 2026-06-28 17:50:14 | R5 | InfixConverter/test_0_orig_no_procyon vs railroadcar/test_1_artifice_pg_procyon → NON-CLONE
[40381/50000] 2026-06-28 17:50:15 | R5 | InfixConverter/test_0_orig_no_procyon vs slinkedlist/0_orig → NON-CLONE
[40382/50000] 2026-06-28 17:50:15 | R5 | InfixConverter/test_0_orig_no_procyon vs slinkedlist/1_artifice → NON-CLONE
[40383/50000] 2026-06-28 17:50:16 | R5 | InfixConverter/test_0_orig_no_procyon vs slinkedlist/test_0_orig_no_krakatau → NON-CLONE
[40384/50000] 2026-06-28 17:50:17 | R5 | InfixConverter/test_0_orig_no_procyon vs slinkedlist/test_0_orig_no_procyon → NON-CLONE
[40385/50000] 2026-06-28 17:50:17 | R5 | InfixConverter/test_0_orig_no_procyon vs slinkedlist/test_0_orig_pg_krakatau → NON-CLONE
[40386/50000] 2026-06-28 17:50:18 | R5 | InfixConverter/test_0_orig_no_procyon vs slinkedlist/test_0_orig_pg_procyon → NON-CLONE
[40387/50000] 2026-06-28 17:50:18 | R5 | InfixConverter/test_0_orig_no_procyon vs slinkedlist/test_1_artifice_no_krakatau → NON-CLONE
[40388/50000] 2026-06-28 17:50:19 | R5 | InfixConverter/test_0_orig_no_procyon vs slinkedlist/test_1_artifice_no_procyon → NON-CLONE
[40389/50000] 2026-06-28 17:50:19 | R5 | InfixConverter/test_0_orig_no_procyon vs slinkedlist/test_1_artifice_pg_krakatau → NON-CLONE
[40390/50000] 2026-06-28 17:50:20 | R5 | InfixConverter/test_0_orig_no_procyon vs slinkedlist/test_1_artifice_pg_procyon → NON-CLONE
[40391/50000] 2026-06-28 17:50:20 | R5 | InfixConverter/test_0_orig_no_procyon vs square/0_orig → NON-CLONE
[40392/50000] 2026-06-28 17:50:21 | R5 | InfixConverter/test_0_orig_no_procyon vs square/1_artifice → NON-CLONE
[40393/50000] 2026-06-28 17:50:21 | R5 | InfixConverter/test_0_orig_no_procyon vs square/test_0_orig_no_krakatau → NON-CLONE
[40394/50000] 2026-06-28 17:50:22 | R5 | InfixConverter/test_0_orig_no_procyon vs square/test_0_orig_no_procyon → NON-CLONE
[40395/50000] 2026-06-28 17:50:23 | R5 | InfixConverter/test_0_orig_no_procyon vs square/test_0_orig_pg_krakatau → NON-CLONE
[40396/50000] 2026-06-28 17:50:23 | R5 | InfixConverter/test_0_orig_no_procyon vs square/test_0_orig_pg_procyon → NON-CLONE
[40397/50000] 2026-06-28 17:50:24 | R5 | InfixConverter/test_0_orig_no_procyon vs square/test_1_artifice_no_krakatau → NON-CLONE
[40398/50000] 2026-06-28 17:50:24 | R5 | InfixConverter/test_0_orig_no_procyon vs square/test_1_artifice_no_procyon → NON-CLONE
[40399/50000] 2026-06-28 17:50:25 | R5 | InfixConverter/test_0_orig_no_procyon vs square/test_1_artifice_pg_krakatau → NON-CLONE
[40400/50000] 2026-06-28 17:50:26 | R5 | InfixConverter/test_0_orig_no_procyon vs square/test_1_artifice_pg_procyon → NON-CLONE
[40401/50000] 2026-06-28 17:50:26 | R5 | InfixConverter/test_0_orig_pg_krakatau vs InfixConverter/0_orig → CLONE
[40402/50000] 2026-06-28 17:50:27 | R5 | InfixConverter/test_0_orig_pg_krakatau vs InfixConverter/1_artifice → CLONE
[40403/50000] 2026-06-28 17:50:28 | R5 | InfixConverter/test_0_orig_pg_krakatau vs InfixConverter/test_0_orig_no_krakatau → CLONE
[40404/50000] 2026-06-28 17:50:28 | R5 | InfixConverter/test_0_orig_pg_krakatau vs InfixConverter/test_0_orig_no_procyon → CLONE
[40405/50000] 2026-06-28 17:50:29 | R5 | InfixConverter/test_0_orig_pg_krakatau vs InfixConverter/test_0_orig_pg_krakatau → CLONE
[40406/50000] 2026-06-28 17:50:29 | R5 | InfixConverter/test_0_orig_pg_krakatau vs InfixConverter/test_0_orig_pg_procyon → CLONE
[40407/50000] 2026-06-28 17:50:30 | R5 | InfixConverter/test_0_orig_pg_krakatau vs InfixConverter/test_1_artifice_no_krakatau → CLONE
[40408/50000] 2026-06-28 17:50:31 | R5 | InfixConverter/test_0_orig_pg_krakatau vs InfixConverter/test_1_artifice_no_procyon → CLONE
[40409/50000] 2026-06-28 17:50:31 | R5 | InfixConverter/test_0_orig_pg_krakatau vs InfixConverter/test_1_artifice_pg_krakatau → CLONE
[40410/50000] 2026-06-28 17:50:32 | R5 | InfixConverter/test_0_orig_pg_krakatau vs InfixConverter/test_1_artifice_pg_procyon → CLONE
[40411/50000] 2026-06-28 17:50:32 | R5 | InfixConverter/test_0_orig_pg_krakatau vs SqrtAlgorithm/0_orig → NON-CLONE
[40412/50000] 2026-06-28 17:50:33 | R5 | InfixConverter/test_0_orig_pg_krakatau vs SqrtAlgorithm/1_artifice → NON-CLONE
[40413/50000] 2026-06-28 17:50:34 | R5 | InfixConverter/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_0_orig_no_krakatau → NON-CLONE
[40414/50000] 2026-06-28 17:50:34 | R5 | InfixConverter/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_0_orig_no_procyon → NON-CLONE
[40415/50000] 2026-06-28 17:50:35 | R5 | InfixConverter/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_0_orig_pg_krakatau → NON-CLONE
[40416/50000] 2026-06-28 17:50:35 | R5 | InfixConverter/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_0_orig_pg_procyon → NON-CLONE
[40417/50000] 2026-06-28 17:50:36 | R5 | InfixConverter/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_1_artifice_no_krakatau → NON-CLONE
[40418/50000] 2026-06-28 17:50:37 | R5 | InfixConverter/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_1_artifice_no_procyon → NON-CLONE
[40419/50000] 2026-06-28 17:50:38 | R5 | InfixConverter/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_1_artifice_pg_krakatau → NON-CLONE
[40420/50000] 2026-06-28 17:50:38 | R5 | InfixConverter/test_0_orig_pg_krakatau vs SqrtAlgorithm/test_1_artifice_pg_procyon → NON-CLONE
[40421/50000] 2026-06-28 17:50:38 | R5 | InfixConverter/test_0_orig_pg_krakatau vs bubblesort/0_orig → NON-CLONE
